npsn,name,address,village,kecamatan,lat,lng,jenjang,student_count,st_male,st_female
69827317,PAUD- AR ROFI I,HAURSEAH,Cipicung,Banyuresmi,,,PAUD,0,0,0
70049354,SPS Permata Bunda,Kp. Ngompod Rt 03 Rw 02,Pamekarsari,Banyuresmi,,,PAUD,51,29,22
69867191,TK AISYIYAH AL-ISTIQOMAH,KP.RANCAKUJANG RT.02/07,Cipicung,Banyuresmi,,,PAUD,27,13,14
20259905,TK AISYIYAH AR-RAHMAN,KP. KIARALAWANG,Sukamukti,Banyuresmi,,,PAUD,36,20,16
20259909,TK AISYIYAH BA,KP. PUNGKUR DS. PAMEKARSARI,Pamekarsari,Banyuresmi,,,PAUD,17,8,9
69867186,TK AISYIYAH BA II,KP. CIGARUGUY,Pamekarsari,Banyuresmi,,,PAUD,34,18,16
20259934,TK AL FALAH,KP. TARIKOLOT,Sukamukti,Banyuresmi,,,PAUD,30,20,10
20259940,TK AL HANAFI,KP. CIBEUREUM DS. SUKARATU,Sukaratu,Banyuresmi,,,PAUD,24,16,8
69867196,TK AL MUSRI,KP. BOJONG GEDE,Dangdeur,Banyuresmi,,,PAUD,42,19,23
69867190,TK AL-AJRA,KP. CIPICUNG RT 03/01,Cipicung,Banyuresmi,,,PAUD,84,48,36
69974742,TK AL-BIRRU ARKAAN,KP. BABAKAN PANJANG RT. 01 RW 13,Sukasenang,Banyuresmi,,,PAUD,32,18,14
69946655,TK AL-HASANI,Jl. Raya Jati RT 02 RW 03,Dangdeur,Banyuresmi,,,PAUD,47,20,27
69867193,TK AL-HIJAIAH,KP.PARUNG,Bagendit,Banyuresmi,,,PAUD,12,7,5
20260027,TK AL-MARJAN,KP.BURUNG AYUN DS.SUKAKARYA,Sukakarya,Banyuresmi,,,PAUD,61,34,27
70050699,TK AR RASYID ROSYIDAH,Kp. Sampora Rt.02 Rw.09,Sukamukti,Banyuresmi,,,PAUD,0,0,0
69867189,TK AR-ROFI I,KP. HAURSEAH RT.03/10,Cipicung,Banyuresmi,,,PAUD,28,16,12
20260059,TK AT- TAKWIN,KP.BOJONG JENGKOL,Sukalaksana,Banyuresmi,,,PAUD,44,20,24
70048933,TK AZIZAH SATU BANYURESMI,Perum Hijra Sukamukti,Sukamukti,Banyuresmi,,,PAUD,38,16,22
20260070,TK BAITUL MUTAQIN,JL. RAYA WARUNGPEUTEUY NO. 137,Sukaraja,Banyuresmi,,,PAUD,61,44,17
69867183,TK BANI AHMAD I,KP. DUWET,Sukakarya,Banyuresmi,,,PAUD,60,32,28
69867185,TK BANI RAHMAT,KP.BABAKAN RT.01/01,Sukakarya,Banyuresmi,,,PAUD,11,4,7
69906364,TK BANI SADELI,Kp. Sarianten RT 01/08,Sukalaksana,Banyuresmi,,,PAUD,15,7,8
69878148,TK BINA MANDIRI,KP. BABAKAN 02/02,Sukakarya,Banyuresmi,,,PAUD,40,21,19
69867195,TK DARUL ASYIQIN,KP. TEGALSARI,Banyuresmi,Banyuresmi,,,PAUD,12,7,5
20260089,TK DARUL MUKMININ,KP.BABAKAN WARU DS.BINAKARYA,Binakarya,Banyuresmi,,,PAUD,43,19,24
69991817,TK FASTABIQUL KHAIRAT,KP. MAJASARI RT. 01 RW. 04,Karyasari,Banyuresmi,,,PAUD,42,20,22
20260350,TK I TERPADU NURUTTAQWA,KP.ANYARSARI DS.KARYASARI,Karyasari,Banyuresmi,,,PAUD,56,23,33
20260139,TK ISTIQOMAH,JL. WARUNGPEUTEUY DS. SALAGEDANG,Sukaraja,Banyuresmi,,,PAUD,36,21,15
69867184,TK IT BINA INSANI,JALAN WARUNG PEUTEUY,Sukakarya,Banyuresmi,,,PAUD,47,20,27
69867188,TK KHADIJAH,KP.DUNGUSHOE RT.001/011,Sukaratu,Banyuresmi,,,PAUD,13,8,5
20260179,TK NURUL HUDA,CINTARAMA,Sukasenang,Banyuresmi,,,PAUD,39,23,16
20260182,TK NURUL IKHSAN,JL. ADIWINATA KP. CIKAWAO,Banyuresmi,Banyuresmi,,,PAUD,28,18,10
69867194,TK RIYADHUSHOLIHIN,KP. BABAKAN PAMEUNGPEUK,Banyuresmi,Banyuresmi,,,PAUD,20,6,14
69867182,TK SEJAHTERA 1,Kp. Cileungsing,Sukaraja,Banyuresmi,,,PAUD,42,28,14
20260286,TK SEJAHTERA II,KP. CINTARAMA DS. SUKASENAG,Sukasenang,Banyuresmi,,,PAUD,40,24,16
69956963,TK TUNAS MANDIRI,KP. SARLEGA RT. 003/004,Binakarya,Banyuresmi,,,PAUD,17,9,8
69867197,TK YAKHA,H. Maolani Kp. Cimareme RT.002 RW.011,Cimareme,Banyuresmi,,,PAUD,13,7,6
69867331,KB AL AMIR,KP CIBODAS,Banjarsari,Bayongbong,,,PAUD,37,24,13
69962903,KB AL HASANAH,KP. CIAWITALI RT.02 RW.08,Bayongbong,Bayongbong,,,PAUD,24,15,9
69867327,KB AL HIDAYAH,KP BOJONGLOA,Salakuray,Bayongbong,,,PAUD,40,20,20
69996047,KB AL- IKHLAS PAMALAYAN,KP. PAMALAYAN KULON RT. 02 RW. 03,Pamalayan,Bayongbong,,,PAUD,28,10,18
70014096,KB AL-AQSO,Kp. Sukasirna RT 001 RW 012,Bayongbong,Bayongbong,,,PAUD,19,9,10
69940037,KB AL-HIKMAH CIENGANG,Kp. Ciengang RT 01 RW 05,Cinisti,Bayongbong,,,PAUD,17,6,11
69972132,KB AL-ITTIHADIYAH CINISTI,Kp. Manjah Beureum RT 04 RW 03,Cinisti,Bayongbong,,,PAUD,28,14,14
69908617,KB AMAL IHSANI,Kp. Jambansari RT 03/04,Bayongbong,Bayongbong,,,PAUD,13,7,6
69826859,KB AN NAUFAL,KP CIKEDOKAN,Sukasenang,Bayongbong,,,PAUD,17,7,10
69890172,KB AS SHYFA KARYAJAYA,KP RADUG,Karyajaya,Bayongbong,,,PAUD,117,74,43
69979702,KB AS SURUR,KP. NEGLASARI RT. 04 RW. 04,Mekarsari,Bayongbong,,,PAUD,20,10,10
69913076,KB AS-SIROJ,Kp. Saroja RT 02/03,Mulyasari,Bayongbong,,,PAUD,41,15,26
69878161,KB AS-SYIFA,Kp. Legok kondang rt 003/006 desa cinisti kec.bayongbong,Cinisti,Bayongbong,,,PAUD,31,20,11
69978893,KB ASMAUL HUSNA,KP. TEGALSARI RT. 03 RW. 08,Ciburuy,Bayongbong,,,PAUD,22,13,9
69826889,KB BAHAGIA,JLN DS CINISTI,Cinisti,Bayongbong,,,PAUD,61,35,26
69867323,KB BAITUL MADAD,KP CIMACAN,Hegarmanah,Bayongbong,,,PAUD,81,49,32
